a.ş ağşe
abc eybisi
abd abede
acadia akeydiya
accord ekırd
accords ekırdz
advertisers edvırtayzırz
advertising edvırtayzing
aeg eyiğci
aerospace eğrospeys
aew eyiğdabılyu
ag eyci
agip eyciaypi
air eyır
airlines eyırlaynz
airport eyırport
aıds eits
akp akepe
alexander alegzandır
algiers alciğrz
alice alis
allday oldey
allen elın
alliance elağyıns
alp elp
american amerikın
amex emeks
amityvilles emitivilz
amoco amoko
amr eyemağr
anacomp enakamp
anc eyensi
anchorage enkıric
andy endi
angeles encılıs
anheuser enhayzır
apartheid aparthayt
apple epıl
applied eplayd
arby's arbiğz
area eğriya
arrow eroğ
ashland eşlınd
associates asoşıyits
assurances aşuğrınsiz
at&t eytiğenti
atlantic atlantik
attack ıtek
australia oğstıreyliya
automax otomeks
avenue evınyu
average evıric
bache beyç
baker beykır
bakery beykıri
bally boli
baltimore baltimor
bank benk
bankamerica benkamerika
banxquote benkskuot
barclay barkley
barre bar
barron berın
barry beri
bartlett bartlıt
bass bes
battelle batel
batterymarch betırimarç
bcpe bisipii
beach biğç
bearings beğringz
beefeater biğfiğtır
beers biğrz
beethoven beğthoğfn
bell bel
bellsouth belsaut
benackova benaçkova
bennett benıt
benton bentın
berkeley barkli
berman börmın
berthold bertolt
bethforge betforc
biny bini
birkel birkıl
birmingham börmingım
blaine bleyn
blair bleyr
blanding blending
block blok
bloomingdale bluğmingdeyıl
bmw bemeve
bnl bienel
board boğrd
boeing boğing
boemer bomır
boudreau budro
boys boyz
bpca biğpiğsiey
branca branka
brands brendz
breeden briğdın
breeder briğdır
bridge bric
briggs brigz
britton britın
broadbeach broğdbiğç
broadcasting broğdkesting
broadway brodvey
bronner bronır
bronx bronks
brooklyn bruklin
brothers bradırz
brown braun
browns braunz
brush braş
bruyn bruyin
bsb biesbi
bsn biesen
bundy bundi
burbank börbenk
bureau byuğro
burnham börnım
burns börnz
burr bör
burton börtın
bush buş
buzzell bızel
bwi biğdabılyuay
cabrera kabrera
calgary kalgıri
california kaliforniya
calor kelır
caltrans keltrens
cambridge/mass. keymbricmes
campeau kampo
canada kenada
canton kentın
capenter karpentır
capital kepitıl
car kar
carbide karbayd
carnival karnivıl
carolina kerılayna
carson karsın
casey keysi
cathay ketey
cbs cibies
cd ciğdi
cela sela
celimene selimen
cent sent
center sentır
central sentrıl
centrust sentrast
ceo siğiğo
cfc siefci
cfo siefo
cftc sieftici
champion çempiın
champs çemps
chandler çendlır
charleston çarlstın
charlotte şarlıt
chase çeys
chat çet
cheer çiğır
chemical kemikıl
cheney çeyni
chestman çestmın
chevrolet şevrole
chiat/day/mojo çayıtdeymojo
chicago şikago
chip's çips
chiron şiron
chivas şivas
chomsky çomski
chp cehepe
christiensen kristiyensın
christies kristiğz
chrysler krayslır
chugai çugay
church çörç
cia siayey
cincinnati sinsinati
cineplex sinepleks
citibank sitibenk
citicorp sitikorp
cities sitiğz
city siti
clay kley
clements klemınts
cleveland kliğvlınd
clinton klintın
close kloğs
cnn sienen
coates koğts
coats koğts
cohen koın
coke koğk
coleman kolmın
colgate kolgeyt
college kalıc
colour kalır
commerciale komersiyal
commerzbank komeğrtsbank
communications komuniceyşınz
compaq kompek
computerworld kompyutırwörld
connaught konıht
connecticut konetikıt
conner kanır
constitution konstituşın
continental kantinentıl
corporation korporeyşın
corry kori
cotton katın
county kaunti
court koğrt
cox koks
cp siğpi
cpa siğpiey
cra siarey
crane kreyn
creek kriğk
cremonie kremonye
crier krye
csc siessi
cunningham kaningım
d de
d.t. diğti
d'alene dalen
daf dieyef
dc disi
dc9 disinayn
dea diiey
dean diyin
dec diisi
decker dekır
deng dıng
denver denvır
deposit dıpazit
detroit ditroyt
dfw diefdabılyu
digital dicidıl
dinkins dinkinz
djia diceyayey
dna denea
dodger dacır
dow dav
dozen dazın
drugstore dragstor
dtw ditidabılyu
dulles dalıs
dynamics daynamiks
eagle igıl
earth ört
eastbourne istborn
eastern istırn
eastman istmen
elder eldır
electric ilektrik
epa ipiey
equipment ekipmınt
espectador espektador
ewr idabılyuar
exterior ekstiriyır
exxon eksan
f1 efbir
falconbridge falkınbiric
ferc efiarsi
field fiyıld
fireman fayırmen
foster fostır
france frans
frank firenk
frankfurt firenkfurt
freeberg firibörg
freeman firimen
fund fand
gamson gemsın
gatos gatos
gatt geatete
genentech cenentek
georges corc
gisèle jisel
gm ciem
gmac ciemeysi
goldsmith goldsimit
google gogıl
gorbaçov gorbaçov
gore gor
grand gırend
granville gırenvil
greenberg gırinbörg
greenfield gırinfiyıld
greenspan gırinsıpen
group gurup
gsmh gesemehe
hampshire hempşayır
hanoi henoy
havel hafıl
haven heyvın
heinz haynz
henry henri
hepburn hepbörn
hill hil
hilton hiltın
himont imon
hofheim hofhaym
holmes hölms
hooker huukır
