göçtür göç+NOUN+A3SG+PNON+NOM^DB+ADV+SINCE
göçsü göç+NOUN^DB+ADJ+ALMOST
göççü göç+NOUN+A3SG+PNON+NOM^DB+ADJ+AGT
göççüksü göç+NOUN+A3SG+PNON+NOM^DB+NOUN+DIM^DB+ADJ+ALMOST
göççükçü göç+NOUN+A3SG+PNON+NOM^DB+NOUN+DIM+A3SG+PNON+NOM^DB+ADJ+AGT
göçsel göç+NOUN+A3SG+PNON+NOM^DB+ADJ+RELATED
göçlü göç+NOUN+A3SG+PNON+NOM^DB+ADJ+WITH
göçsüz göç+NOUN+A3SG+PNON+NOM^DB+ADJ+WITHOUT
göçlerli göç+NOUN+A3PL+PNON+NOM^DB+ADJ+WITH
göçmem göç+VERB+NEG+AOR+A1SG
göçmez göç+VERB+NEG+AOR+A3SG
göçmeyiz göç+VERB+NEG+AOR+A1PL
göçmez göç+VERB+NEG+AOR^DB+ADJ+ZERO
göçemem göç+VERB^DB+VERB+ABLE+NEG+AOR+A1SG
göçemez göç+VERB^DB+VERB+ABLE+NEG+AOR+A3SG
göçemez göç+VERB^DB+VERB+ABLE+NEG+AOR^DB+ADJ+ZERO
göçmeden göç+VERB+POS^DB+ADV+WITHOUTHAVINGDONESO
göççüklü göç+NOUN+A3SG+PNON+NOM^DB+NOUN+DIM+A3SG+PNON+NOM^DB+ADJ+WITH
göçselsi göç+NOUN+A3SG+PNON+NOM^DB+ADJ+RELATED^DB+ADJ+JUSTLIKE
göçselce göç+NOUN+A3SG+PNON+NOM^DB+ADJ+RELATED^DB+ADJ+ASIF
göçselim göç+NOUN+A3SG+PNON+NOM^DB+ADJ+RELATED^DB+VERB+ZERO+PRES+A1SG
göçseliz göç+NOUN+A3SG+PNON+NOM^DB+ADJ+RELATED^DB+VERB+ZERO+PRES+A1PL
göçlüsü göç+NOUN+A3SG+PNON+NOM^DB+ADJ+WITH^DB+ADJ+JUSTLIKE
göçlüce göç+NOUN+A3SG+PNON+NOM^DB+ADJ+WITH^DB+ADJ+ASIF
göçlüyüm göç+NOUN+A3SG+PNON+NOM^DB+ADJ+WITH^DB+VERB+ZERO+PRES+A1SG
göçlüsün göç+NOUN+A3SG+PNON+NOM^DB+ADJ+WITH^DB+VERB+ZERO+PRES+A2SG
göçlüyüz göç+NOUN+A3SG+PNON+NOM^DB+ADJ+WITH^DB+VERB+ZERO+PRES+A1PL
göçlüler göç+NOUN+A3SG+PNON+NOM^DB+ADJ+WITH^DB+VERB+ZERO+PRES+A3PL
göçsüzsü göç+NOUN+A3SG+PNON+NOM^DB+ADJ+WITHOUT^DB+ADJ+JUSTLIKE
göçsüzce göç+NOUN+A3SG+PNON+NOM^DB+ADJ+WITHOUT^DB+ADJ+ASIF
göçsüzüm göç+NOUN+A3SG+PNON+NOM^DB+ADJ+WITHOUT^DB+VERB+ZERO+PRES+A1SG
göçsüzüz göç+NOUN+A3SG+PNON+NOM^DB+ADJ+WITHOUT^DB+VERB+ZERO+PRES+A1PL
göçü göç+NOUN+A3SG+PNON+ACC
göççe göç+NOUN+A3SG+PNON+EQU
göçümü göç+NOUN+A3SG+P1SG+ACC
göçümce göç+NOUN+A3SG+P1SG+EQU
göçünü göç+NOUN+A3SG+P2SG+ACC
göçünce göç+NOUN+A3SG+P2SG+EQU
göçümüzü göç+NOUN+A3SG+P1PL+ACC
göçünüzü göç+NOUN+A3SG+P2PL+ACC
göçünü göç+NOUN+A3SG+P3SG+ACC
göçü'nü göç+NOUN+A3SG+P3SG+ACC
göçünce göç+NOUN+A3SG+P3SG+EQU
göçü'nce göç+NOUN+A3SG+P3SG+EQU
göçleri göç+NOUN+A3PL+PNON+ACC
göçlerce göç+NOUN+A3PL+PNON+EQU
göçleri göç+NOUN+A3SG+P3PL+NOM
göçleri' göç+NOUN+A3SG+P3PL+NOM
göçleri göç+NOUN+A3PL+P3PL+NOM
göçleri' göç+NOUN+PROP+A3PL+P3PL+NOM
göçmezsi göç+VERB+NEG+AOR^DB+ADJ+ZERO^DB+ADJ+JUSTLIKE
