sıska sıska+ADJ
sıskası sıska+ADJ^DB+ADJ+JUSTLIKE
sıskayım sıska+ADJ^DB+VERB+ZERO+PRES+A1SG
sıskasın sıska+ADJ^DB+VERB+ZERO+PRES+A2SG
sıskayız sıska+ADJ^DB+VERB+ZERO+PRES+A1PL
sıskasınız sıska+ADJ^DB+VERB+ZERO+PRES+A2PL
sıskalar sıska+ADJ^DB+VERB+ZERO+PRES+A3PL
sıskaca sıska+ADJ^DB+ADJ+ASIF
sıskayken sıska+ADJ^DB+VERB+ZERO^DB+ADV+WHILE
sıskacıdır sıska+ADJ^DB+NOUN+AGT+A3SG+PNON+NOM^DB+ADV+SINCE
sıskacısı sıska+ADJ^DB+NOUN+AGT^DB+ADJ+ALMOST
sıskacıcı sıska+ADJ^DB+NOUN+AGT+A3SG+PNON+NOM^DB+ADJ+AGT
sıskalıksı sıska+ADJ^DB+NOUN+NESS^DB+ADJ+ALMOST
sıskalıkçı sıska+ADJ^DB+NOUN+NESS+A3SG+PNON+NOM^DB+ADJ+AGT
sıskasıca sıska+ADJ^DB+ADJ+JUSTLIKE^DB+ADJ+ASIF
sıskasıyım sıska+ADJ^DB+ADJ+JUSTLIKE^DB+VERB+ZERO+PRES+A1SG
sıskasısın sıska+ADJ^DB+ADJ+JUSTLIKE^DB+VERB+ZERO+PRES+A2SG
sıskasıyız sıska+ADJ^DB+ADJ+JUSTLIKE^DB+VERB+ZERO+PRES+A1PL
sıskasılar sıska+ADJ^DB+ADJ+JUSTLIKE^DB+VERB+ZERO+PRES+A3PL
sıskaca sıska+ADJ^DB+ADV+LY
sıskacaya sıska+ADJ^DB+ADV+LY^DB+NOUN+ZERO+A3SG+PNON+DAT
sıskaydı sıska+ADJ^DB+VERB+ZERO+PAST+A3SG
sıskaydım sıska+ADJ^DB+VERB+ZERO+PAST+A1SG
sıskaydın sıska+ADJ^DB+VERB+ZERO+PAST+A2SG
sıskaydık sıska+ADJ^DB+VERB+ZERO+PAST+A1PL
sıskaysa sıska+ADJ^DB+VERB+ZERO+COND+A3SG
sıskaysam sıska+ADJ^DB+VERB+ZERO+COND+A1SG
sıskaysan sıska+ADJ^DB+VERB+ZERO+COND+A2SG
sıskaysak sıska+ADJ^DB+VERB+ZERO+COND+A1PL
sıskadır sıska+ADJ^DB+VERB+ZERO+PRES+COP+A3SG
sıskalarlı sıska+ADJ^DB+NOUN+ZERO+A3PL+PNON+NOM^DB+ADJ+WITH
sıskacısal sıska+ADJ^DB+NOUN+AGT+A3SG+PNON+NOM^DB+ADJ+RELATED
sıskacılı sıska+ADJ^DB+NOUN+AGT+A3SG+PNON+NOM^DB+ADJ+WITH
sıskacısız sıska+ADJ^DB+NOUN+AGT+A3SG+PNON+NOM^DB+ADJ+WITHOUT
sıskalıklı sıska+ADJ^DB+NOUN+NESS+A3SG+PNON+NOM^DB+ADJ+WITH
sıskasıdır sıska+ADJ^DB+ADJ+JUSTLIKE^DB+NOUN+ZERO+A3SG+PNON+NOM^DB+ADV+SINCE
sıskasısı sıska+ADJ^DB+ADJ+JUSTLIKE^DB+NOUN+ZERO^DB+ADJ+ALMOST
sıskasıcı sıska+ADJ^DB+ADJ+JUSTLIKE^DB+NOUN+ZERO+A3SG+PNON+NOM^DB+ADJ+AGT
sıskasıca sıska+ADJ^DB+ADJ+JUSTLIKE^DB+ADV+LY
sıskasıydı sıska+ADJ^DB+ADJ+JUSTLIKE^DB+VERB+ZERO+PAST+A3SG
