yıldönümümü yıldönüm+NOUN+A3SG+P1SG+ACC
yıldönümümce yıldönüm+NOUN+A3SG+P1SG+EQU
yıldönümünü yıldönüm+NOUN+A3SG+P2SG+ACC
yıldönümünce yıldönüm+NOUN+A3SG+P2SG+EQU
yıldönümümüzü yıldönüm+NOUN+A3SG+P1PL+ACC
yıldönümümüzce yıldönüm+NOUN+A3SG+P1PL+EQU
yıldönümünüzü yıldönüm+NOUN+A3SG+P2PL+ACC
yıldönümünüzce yıldönüm+NOUN+A3SG+P2PL+EQU
yıldönümünü yıldönüm+NOUN+A3SG+P3SG+ACC
yıldönümü'nü yıldönüm+NOUN+A3SG+P3SG+ACC
yıldönümünce yıldönüm+NOUN+A3SG+P3SG+EQU
yıldönümü'nce yıldönüm+NOUN+A3SG+P3SG+EQU
yıldönümlerini yıldönüm+NOUN+A3PL+P3PL+ACC
yıldönümlersel yıldönüm+NOUN+A3PL+PNON+NOM^DB+ADJ+RELATED
yıldönümlerli yıldönüm+NOUN+A3PL+PNON+NOM^DB+ADJ+WITH
yıldönümlersiz yıldönüm+NOUN+A3PL+PNON+NOM^DB+ADJ+WITHOUT
yıldönümüm yıldönüm+NOUN+A3SG+P1SG+NOM
yıldönümümlük yıldönüm+NOUN+A3SG+P1SG+NOM^DB+ADJ+FITFOR
yıldönümümüm yıldönüm+NOUN+A3SG+P1SG+NOM^DB+VERB+ZERO+PRES+A1SG
yıldönümümsün yıldönüm+NOUN+A3SG+P1SG+NOM^DB+VERB+ZERO+PRES+A2SG
yıldönümümüz yıldönüm+NOUN+A3SG+P1SG+NOM^DB+VERB+ZERO+PRES+A1PL
yıldönümümler yıldönüm+NOUN+A3SG+P1SG+NOM^DB+VERB+ZERO+PRES+A3PL
yıldönümümken yıldönüm+NOUN+A3SG+P1SG+NOM^DB+VERB+ZERO^DB+ADV+WHILE
yıldönümüme yıldönüm+NOUN+A3SG+P1SG+DAT
yıldönümümelik yıldönüm+NOUN+A3SG+P1SG+DAT^DB+ADJ+FITFOR
yıldönümümeyim yıldönüm+NOUN+A3SG+P1SG+DAT^DB+VERB+ZERO+PRES+A1SG
yıldönümümesin yıldönüm+NOUN+A3SG+P1SG+DAT^DB+VERB+ZERO+PRES+A2SG
yıldönümümeyiz yıldönüm+NOUN+A3SG+P1SG+DAT^DB+VERB+ZERO+PRES+A1PL
yıldönümümeler yıldönüm+NOUN+A3SG+P1SG+DAT^DB+VERB+ZERO+PRES+A3PL
yıldönümümde yıldönüm+NOUN+A3SG+P1SG+LOC
yıldönümümden yıldönüm+NOUN+A3SG+P1SG+ABL
yıldönümümün yıldönüm+NOUN+A3SG+P1SG+GEN
yıldönümümünüm yıldönüm+NOUN+A3SG+P1SG+GEN^DB+VERB+ZERO+PRES+A1SG
yıldönümümünüz yıldönüm+NOUN+A3SG+P1SG+GEN^DB+VERB+ZERO+PRES+A1PL
yıldönümümle yıldönüm+NOUN+A3SG+P1SG+INS
yıldönümün yıldönüm+NOUN+A3SG+P2SG+NOM
yıldönümünlük yıldönüm+NOUN+A3SG+P2SG+NOM^DB+ADJ+FITFOR
yıldönümünüm yıldönüm+NOUN+A3SG+P2SG+NOM^DB+VERB+ZERO+PRES+A1SG
yıldönümünsün yıldönüm+NOUN+A3SG+P2SG+NOM^DB+VERB+ZERO+PRES+A2SG
yıldönümünüz yıldönüm+NOUN+A3SG+P2SG+NOM^DB+VERB+ZERO+PRES+A1PL
yıldönümünler yıldönüm+NOUN+A3SG+P2SG+NOM^DB+VERB+ZERO+PRES+A3PL
yıldönümünken yıldönüm+NOUN+A3SG+P2SG+NOM^DB+VERB+ZERO^DB+ADV+WHILE
yıldönümüne yıldönüm+NOUN+A3SG+P2SG+DAT
yıldönümünelik yıldönüm+NOUN+A3SG+P2SG+DAT^DB+ADJ+FITFOR
yıldönümüneyim yıldönüm+NOUN+A3SG+P2SG+DAT^DB+VERB+ZERO+PRES+A1SG
yıldönümünesin yıldönüm+NOUN+A3SG+P2SG+DAT^DB+VERB+ZERO+PRES+A2SG
yıldönümüneyiz yıldönüm+NOUN+A3SG+P2SG+DAT^DB+VERB+ZERO+PRES+A1PL
yıldönümüneler yıldönüm+NOUN+A3SG+P2SG+DAT^DB+VERB+ZERO+PRES+A3PL
yıldönümünde yıldönüm+NOUN+A3SG+P2SG+LOC
yıldönümünden yıldönüm+NOUN+A3SG+P2SG+ABL
yıldönümünün yıldönüm+NOUN+A3SG+P2SG+GEN
yıldönümününüm yıldönüm+NOUN+A3SG+P2SG+GEN^DB+VERB+ZERO+PRES+A1SG
yıldönümününüz yıldönüm+NOUN+A3SG+P2SG+GEN^DB+VERB+ZERO+PRES+A1PL
yıldönümünle yıldönüm+NOUN+A3SG+P2SG+INS
yıldönümümüz yıldönüm+NOUN+A3SG+P1PL+NOM
yıldönümümüzüm yıldönüm+NOUN+A3SG+P1PL+NOM^DB+VERB+ZERO+PRES+A1SG
yıldönümümüzüz yıldönüm+NOUN+A3SG+P1PL+NOM^DB+VERB+ZERO+PRES+A1PL
yıldönümümüze yıldönüm+NOUN+A3SG+P1PL+DAT
yıldönümümüzde yıldönüm+NOUN+A3SG+P1PL+LOC
yıldönümümüzün yıldönüm+NOUN+A3SG+P1PL+GEN
yıldönümümüzle yıldönüm+NOUN+A3SG+P1PL+INS
yıldönümünüz yıldönüm+NOUN+A3SG+P2PL+NOM
yıldönümünüzüm yıldönüm+NOUN+A3SG+P2PL+NOM^DB+VERB+ZERO+PRES+A1SG
yıldönümünüzüz yıldönüm+NOUN+A3SG+P2PL+NOM^DB+VERB+ZERO+PRES+A1PL
yıldönümünüze yıldönüm+NOUN+A3SG+P2PL+DAT
yıldönümünüzde yıldönüm+NOUN+A3SG+P2PL+LOC
yıldönümünüzün yıldönüm+NOUN+A3SG+P2PL+GEN
yıldönümünüzle yıldönüm+NOUN+A3SG+P2PL+INS
yıldönümü yıldönüm+NOUN+A3SG+P3SG+NOM
yıldönümülük yıldönüm+NOUN+A3SG+P3SG+NOM^DB+ADJ+FITFOR
yıldönümüyüm yıldönüm+NOUN+A3SG+P3SG+NOM^DB+VERB+ZERO+PRES+A1SG
yıldönümüsün yıldönüm+NOUN+A3SG+P3SG+NOM^DB+VERB+ZERO+PRES+A2SG
yıldönümüyüz yıldönüm+NOUN+A3SG+P3SG+NOM^DB+VERB+ZERO+PRES+A1PL
yıldönümüsünüz yıldönüm+NOUN+A3SG+P3SG+NOM^DB+VERB+ZERO+PRES+A2PL
yıldönümüler yıldönüm+NOUN+A3SG+P3SG+NOM^DB+VERB+ZERO+PRES+A3PL
yıldönümüyken yıldönüm+NOUN+A3SG+P3SG+NOM^DB+VERB+ZERO^DB+ADV+WHILE
yıldönümüne yıldönüm+NOUN+A3SG+P3SG+DAT
yıldönümünelik yıldönüm+NOUN+A3SG+P3SG+DAT^DB+ADJ+FITFOR
yıldönümüneyim yıldönüm+NOUN+A3SG+P3SG+DAT^DB+VERB+ZERO+PRES+A1SG
yıldönümünesin yıldönüm+NOUN+A3SG+P3SG+DAT^DB+VERB+ZERO+PRES+A2SG
yıldönümüneyiz yıldönüm+NOUN+A3SG+P3SG+DAT^DB+VERB+ZERO+PRES+A1PL
yıldönümüneler yıldönüm+NOUN+A3SG+P3SG+DAT^DB+VERB+ZERO+PRES+A3PL
yıldönümü'ne yıldönüm+NOUN+A3SG+P3SG+DAT
yıldönümünde yıldönüm+NOUN+A3SG+P3SG+LOC
yıldönümü'nde yıldönüm+NOUN+A3SG+P3SG+LOC
yıldönümünden yıldönüm+NOUN+A3SG+P3SG+ABL
yıldönümü'nden yıldönüm+NOUN+A3SG+P3SG+ABL
yıldönümünün yıldönüm+NOUN+A3SG+P3SG+GEN
yıldönümününüm yıldönüm+NOUN+A3SG+P3SG+GEN^DB+VERB+ZERO+PRES+A1SG
yıldönümününüz yıldönüm+NOUN+A3SG+P3SG+GEN^DB+VERB+ZERO+PRES+A1PL
yıldönümü'nün yıldönüm+NOUN+A3SG+P3SG+GEN
yıldönümüyle yıldönüm+NOUN+A3SG+P3SG+INS
yıldönümü'yle yıldönüm+NOUN+A3SG+P3SG+INS
yıldönümleri yıldönüm+NOUN+A3PL+P3PL+NOM
yıldönümlerine yıldönüm+NOUN+A3PL+P3PL+DAT
yıldönümleri yıldönüm+NOUN+A3PL+PNON+ACC
yıldönümlerce yıldönüm+NOUN+A3PL+PNON+EQU
yıldönümlerimi yıldönüm+NOUN+A3PL+P1SG+ACC
yıldönümlerini yıldönüm+NOUN+A3PL+P2SG+ACC
yıldönümlerini yıldönüm+NOUN+A3PL+P3SG+ACC
yıldönümümdü yıldönüm+NOUN+A3SG+P1SG+NOM^DB+VERB+ZERO+PAST+A3SG
yıldönümümdüm yıldönüm+NOUN+A3SG+P1SG+NOM^DB+VERB+ZERO+PAST+A1SG
yıldönümümdün yıldönüm+NOUN+A3SG+P1SG+NOM^DB+VERB+ZERO+PAST+A2SG
yıldönümümdük yıldönüm+NOUN+A3SG+P1SG+NOM^DB+VERB+ZERO+PAST+A1PL
yıldönümümse yıldönüm+NOUN+A3SG+P1SG+NOM^DB+VERB+ZERO+COND+A3SG
yıldönümümsem yıldönüm+NOUN+A3SG+P1SG+NOM^DB+VERB+ZERO+COND+A1SG
yıldönümümsen yıldönüm+NOUN+A3SG+P1SG+NOM^DB+VERB+ZERO+COND+A2SG
yıldönümümsek yıldönüm+NOUN+A3SG+P1SG+NOM^DB+VERB+ZERO+COND+A1PL
yıldönümümdür yıldönüm+NOUN+A3SG+P1SG+NOM^DB+VERB+ZERO+PRES+COP+A3SG
yıldönümümeydi yıldönüm+NOUN+A3SG+P1SG+DAT^DB+VERB+ZERO+PAST+A3SG
yıldönümümeyse yıldönüm+NOUN+A3SG+P1SG+DAT^DB+VERB+ZERO+COND+A3SG
yıldönümümedir yıldönüm+NOUN+A3SG+P1SG+DAT^DB+VERB+ZERO+PRES+COP+A3SG
yıldönümümündü yıldönüm+NOUN+A3SG+P1SG+GEN^DB+VERB+ZERO+PAST+A3SG
yıldönümümünse yıldönüm+NOUN+A3SG+P1SG+GEN^DB+VERB+ZERO+COND+A3SG
yıldönümündü yıldönüm+NOUN+A3SG+P2SG+NOM^DB+VERB+ZERO+PAST+A3SG
yıldönümündüm yıldönüm+NOUN+A3SG+P2SG+NOM^DB+VERB+ZERO+PAST+A1SG
yıldönümündün yıldönüm+NOUN+A3SG+P2SG+NOM^DB+VERB+ZERO+PAST+A2SG
